Time (t),Velocity X (Vx),Velocity Y (Vy),Displacement X,Displacement Y
0,1.07694e-07,60,0,0
0.25,1.03296e-07,55.1,2.58241e-08,13.775
0.5,9.94228e-08,50.5838,5.06798e-08,26.421
0.75,9.60002e-08,46.3925,7.46798e-08,38.0191
1,9.29692e-08,42.4777,9.79221e-08,48.6385
1.25,9.02816e-08,38.7998,1.20493e-07,58.3385
1.5,8.78977e-08,35.3252,1.42467e-07,67.1698
1.75,8.57846e-08,32.026,1.63913e-07,75.1763
2,8.39149e-08,28.878,1.84892e-07,82.3958
2.25,8.22657e-08,25.8604,2.05458e-07,88.8609
2.5,8.08178e-08,22.9553,2.25663e-07,94.5997
2.75,7.95553e-08,20.1467,2.45552e-07,99.6364
3,7.84645e-08,17.4205,2.65168e-07,103.991
3.25,7.75342e-08,14.7639,2.84551e-07,107.682
3.5,7.67552e-08,12.1656,3.0374e-07,110.724
3.75,7.61197e-08,9.61487,3.2277e-07,113.128
4,7.56216e-08,7.10195,3.41675e-07,114.903
4.25,7.52561e-08,4.61763,3.60489e-07,116.057
4.5,7.50196e-08,2.15312,3.79244e-07,116.596
4.75,7.49097e-08,-0.300039,3.97972e-07,116.521
5,7.48944e-08,-2.74998,4.16695e-07,115.833
5.25,7.47543e-08,-5.19483,4.35384e-07,114.535
5.5,7.449e-08,-7.62647,4.54006e-07,112.628
5.75,7.41033e-08,-10.0369,4.72532e-07,110.119
6,7.35972e-08,-12.4183,4.90932e-07,107.014
6.25,7.29752e-08,-14.7634,5.09175e-07,103.323
6.5,7.2242e-08,-17.065,5.27236e-07,99.057
6.75,7.1403e-08,-19.3169,5.45087e-07,94.2278
7,7.04643e-08,-21.5129,5.62703e-07,88.8496
7.25,6.94327e-08,-23.6479,5.80061e-07,82.9376
7.5,6.83152e-08,-25.7174,5.9714e-07,76.5083
7.75,6.71196e-08,-27.7173,6.13919e-07,69.5789
8,6.58535e-08,-29.6444,6.30383e-07,62.1678
8.25,6.45249e-08,-31.4964,6.46514e-07,54.2938
8.5,6.31418e-08,-33.2712,6.623e-07,45.9759
8.75,6.17121e-08,-34.9679,6.77728e-07,37.234
9,6.02435e-08,-36.5857,6.92788e-07,28.0876
9.25,5.87435e-08,-38.1248,7.07474e-07,18.5564
9.5,5.72194e-08,-39.5856,7.21779e-07,8.65995
9.75,5.56779e-08,-40.9692,7.35699e-07,-1.58233
